policy,abstain_fraction,kept_fraction,accuracy,set_size_lt
by_confidence,0.9565432098765432,0.04345679012345679,0.9090909090909091,
by_confidence,0.9563786008230453,0.043621399176954734,0.909433962264151,
by_confidence,0.9562139917695474,0.04378600823045267,0.9097744360902256,
by_confidence,0.9560493827160493,0.04395061728395062,0.9101123595505618,
by_confidence,0.9558847736625514,0.04411522633744856,0.9067164179104478,
by_confidence,0.9557201646090535,0.0442798353909465,0.9070631970260223,
by_confidence,0.9555555555555556,0.044444444444444446,0.9074074074074074,
by_confidence,0.9553909465020576,0.044609053497942384,0.9077490774907749,
by_confidence,0.9552263374485597,0.04477366255144033,0.9080882352941176,
by_confidence,0.9550617283950618,0.044938271604938275,0.9084249084249084,
by_confidence,0.9548971193415637,0.04510288065843621,0.9087591240875912,
by_confidence,0.9547325102880658,0.04526748971193416,0.9054545454545454,
by_confidence,0.9545679012345679,0.0454320987654321,0.9057971014492754,
by_confidence,0.95440329218107,0.04559670781893004,0.9061371841155235,
by_confidence,0.954238683127572,0.04576131687242798,0.9028776978417267,
by_confidence,0.9540740740740741,0.045925925925925926,0.9032258064516129,
by_confidence,0.9539094650205762,0.04609053497942387,0.9035714285714286,
by_confidence,0.9537448559670781,0.04625514403292181,0.9039145907473309,
by_confidence,0.9535802469135802,0.046419753086419754,0.900709219858156,
by_confidence,0.9534156378600823,0.04658436213991769,0.901060070671378,
by_confidence,0.9532510288065844,0.04674897119341564,0.9014084507042254,
by_confidence,0.9530864197530864,0.04691358024691358,0.9017543859649123,
by_confidence,0.9529218106995885,0.04707818930041152,0.9020979020979021,
by_confidence,0.9527572016460906,0.04724279835390947,0.9024390243902439,
by_confidence,0.9525925925925925,0.047407407407407405,0.9027777777777778,
by_confidence,0.9524279835390946,0.04757201646090535,0.903114186851211,
by_confidence,0.9522633744855967,0.047736625514403296,0.903448275862069,
by_confidence,0.9520987654320988,0.047901234567901234,0.9037800687285223,
by_confidence,0.9519341563786008,0.04806584362139918,0.9041095890410958,
by_confidence,0.9517695473251029,0.04823045267489712,0.9044368600682594,
by_confidence,0.951604938271605,0.04839506172839506,0.9047619047619048,
by_confidence,0.951440329218107,0.048559670781893,0.9050847457627119,
by_confidence,0.951275720164609,0.048724279835390946,0.9054054054054054,
by_confidence,0.9511111111111111,0.04888888888888889,0.9057239057239057,
by_confidence,0.9509465020576132,0.04905349794238683,0.9060402684563759,
by_confidence,0.9507818930041152,0.049218106995884775,0.9063545150501672,
by_confidence,0.9506172839506173,0.04938271604938271,0.9066666666666666,
by_confidence,0.9504526748971194,0.04954732510288066,0.9069767441860465,
by_confidence,0.9502880658436214,0.049711934156378604,0.9072847682119205,
by_confidence,0.9501234567901234,0.04987654320987654,0.9075907590759076,
by_confidence,0.9499588477366255,0.05004115226337449,0.9078947368421053,
by_confidence,0.9497942386831276,0.050205761316872426,0.9081967213114754,
by_confidence,0.9496296296296296,0.05037037037037037,0.9084967320261438,
by_confidence,0.9494650205761317,0.050534979423868316,0.9087947882736156,
by_confidence,0.9493004115226338,0.050699588477366254,0.9090909090909091,
by_confidence,0.9491358024691358,0.0508641975308642,0.9093851132686084,
by_confidence,0.9489711934156378,0.05102880658436214,0.9096774193548387,
by_confidence,0.9488065843621399,0.05119341563786008,0.909967845659164,
by_confidence,0.948641975308642,0.05135802469135802,0.9102564102564102,
by_confidence,0.948477366255144,0.05152263374485597,0.9073482428115016,
by_confidence,0.9483127572016461,0.05168724279835391,0.9076433121019108,
by_confidence,0.9481481481481482,0.05185185185185185,0.9079365079365079,
by_confidence,0.9479835390946502,0.052016460905349796,0.9082278481012658,
by_confidence,0.9478189300411523,0.052181069958847734,0.9085173501577287,
by_confidence,0.9476543209876543,0.05234567901234568,0.9056603773584906,
by_confidence,0.9474897119341564,0.052510288065843624,0.9059561128526645,
by_confidence,0.9473251028806584,0.05267489711934156,0.90625,
by_confidence,0.9471604938271605,0.05283950617283951,0.9065420560747663,
by_confidence,0.9469958847736626,0.053004115226337446,0.906832298136646,
by_confidence,0.9468312757201646,0.05316872427983539,0.9071207430340558,
by_confidence,0.9466666666666667,0.05333333333333334,0.9074074074074074,
by_confidence,0.9465020576131687,0.053497942386831275,0.9076923076923077,
by_confidence,0.9463374485596708,0.05366255144032922,0.9079754601226994,
by_confidence,0.9461728395061728,0.05382716049382716,0.908256880733945,
by_confidence,0.9460082304526749,0.053991769547325104,0.9085365853658537,
